## Created using https://www.youtube.com/watch?v=Y40Wy1guAiQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"## Summary of mouse longevity data. David Ashbrook 2022, dashbroo@UTHSC.edu. Edited by Wyatt Kaiser 2023 wkaiser1@uthsc.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## Data from replicable mouse populations,Title,Where mice maintained,First Author,Last Author,All authors,Year mice born,Year mice died,Year paper published,Paper type,Reason for looking,Main topic,Strain,Maternal strain,Paternal strain,Cross type,Sex,Age started,Age started (estimated approx. days),Intervention,Method,Diet,Day-night cycle,Lights on/lights off,Temperature,Humidity,Number of mice per cage (newly added) ,Pathogen free?,Individual data available,Individual data imputable from figures,Where data available?,mean,median,SE,SD,N,CV,IMR,MRDT,Minimum lifespan,Maximum lifespan,notes,url,DOI
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD1,BXD1,BXD1,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,594,519,87,275.1181564,10,0.46316188,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD2,BXD2,BXD2,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,479,499,29.4,131.4807971,20,0.274490182,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD5,BXD5,BXD5,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,528,452,105.7,334.2527487,10,0.633054448,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD6,BXD6,BXD6,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,687,641,26.4,118.0643892,20,0.171855006,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD8,BXD8,BXD8,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,617,637,39,174.4133022,20,0.282679582,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD9,BXD9,BXD9,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,816,884,40.4,180.6742926,20,0.221414574,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD11,BXD11,BXD11,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,750,847,61,272.8002933,20,0.363733724,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD12,BXD12,BXD12,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,738,774,47.9,214.2153122,20,0.290264651,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD13,BXD13,BXD13,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,439,450,,,4,,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
,A putative gene causes variability in lifespan among genotypically identical mice,Dana-Faber Cancer Institute,deHaan,Van Zant,"G de Haan, R Gelman, A Watson, E Yunis, G Van Zant",1982,1983,1998,Primary,Genetic interventions,Genetic interventions,BXD14,BXD14,BXD14,Inbred,female,Birth,28,Control,,Purina chow,,,,,,,No,NA,http://www.genenetwork.org/show_trait?trait_id=17475&dataset=BXDPublish,493,529,42.5,185.2532051,19,0.37576715,,,,,,https://www.nature.com/articles/ng0698_114,https://doi.org/10.1038/465
